,Client_Name,Client_Description,Revenue,Expenses,Total_Assets,Total_Liabilities,Operating_Cash_Flow,Investments,Debt,Industry,Profit,Equity
2179,Pinnacle Logistics,Operations in finance,805968.74,2240809.22,2700461.09,3203152.1000000006,1598537.24,1483614.31,2392684.51,Retail,-1434840.4800000002,-502691.0100000007
2180,Tech Motors,Operations in technology,3250269.85,1060605.864,5220730.08,1890745.72,466845.44,1271009.49,2392099.91,Technology,2189663.986,3329984.3600000003
2181,Tech Technologies,Operations in finance,311112.17,577999.89,7199183.61,2477477.41,982814.94,157900.16,107569.08,Healthcare,-266887.72000000003,4721706.2
2182,Tech Systems,Operations in technology,3045931.7,1056669.37,8576132.52,1241757.24,907804.58,1941423.43,1474112.79,Retail,1989262.33,7334375.279999999
2183,Tech Enterprises,Operations in technology,1536079.45,1715032.83,3831860.67,3478769.62,1258351.9300000002,1098445.47,1277700.33,Manufacturing,-178953.38000000012,353091.0499999998
2184,Pinnacle Group,Operations in technology,134570.03,1396640.6580000003,5245344.99,4150073.4,1661190.41,1541640.68,1808922.35,Healthcare,-1262070.6280000003,1095271.5900000003
2185,Zenith Corp,Operations in technology,2648305.54,418152.71,4610240.546,384257.59,469376.64,210365.82,4801601.12,Manufacturing,2230152.83,4225982.956
2186,Quantum Holdings,Operations in manufacturing,526426.67,2765643.96,4814674.168,2212344.12,1537624.1,197403.45,1619380.66,Technology,-2239217.29,2602330.0479999995
2187,Pinnacle Logistics,Operations in technology,2408340.14,991210.43,7882324.85,2255913.59,482404.44,1503577.57,781959.02,Manufacturing,1417129.71,5626411.26
2188,Pinnacle Holdings,Operations in healthcare,2701008.9620000003,1596873.1,5658795.564,3584976.13,1678763.87,745316.83,3541971.19,Retail,1104135.8620000002,2073819.4340000004
2189,Green Systems,Operations in finance,1585516.1,996046.2,450071.78,4577438.47,668435.92,375191.63,4002758.72,Finance,589469.9000000001,-4127366.6899999995
2190,Tech Corp,Operations in manufacturing,3661198.93,1522916.5,8451252.89,958993.6,767500.44,15937.74,3025179.47,Finance,2138282.43,7492259.290000001
2191,Pinnacle Corp,Operations in finance,4431992.8,755663.35,7013845.84,3987781.65,514608.83,311815.18,450613.38,Retail,3676329.4499999997,3026064.19
2192,Green Technologies,Operations in finance,4219244.07,2139688.33,3716246.89,3235971.86,1257308.61,43346.93,889857.88,Finance,2079555.7400000002,480275.03000000026
2193,Innovative Group,Operations in manufacturing,4011466.01,702913.56,4175336.65,2084316.6879999998,1873044.46,737587.65,1305628.38,Technology,3308552.4499999997,2091019.962
2194,Future Logistics,Operations in technology,1987508.462,1775680.2060000002,908437.22,3401533.676,1880062.64,37794.27,2108653.1,Manufacturing,211828.25599999982,-2493096.4560000002
2195,Dynamic Enterprises,Operations in healthcare,2144024.73,585833.3,9058294.47,2240348.4,944941.0519999999,913472.49,4439832.2,Finance,1558191.43,6817946.07
2196,Dynamic Technologies,Operations in healthcare,1331353.31,1809774.06,6643793.09,139248.09,1009243.5,1819333.94,606168.17,Retail,-478420.75,6504545.0
2197,Pinnacle Logistics,Operations in healthcare,1753097.06,1295164.168,8971643.35,2847880.1,876556.73,1392985.59,3014209.3160000006,Finance,457932.892,6123763.25
2198,Zenith Technologies,Operations in manufacturing,4673512.15,2596445.92,3983190.11,3540935.364,521056.95,374419.62,2382753.602,Finance,2077066.2300000004,442254.7459999998
2199,Pinnacle Holdings,Operations in manufacturing,3814966.94,1608545.16,2996123.44,2701423.8,246958.62,1745039.44,276031.31,Retail,2206421.7800000003,294699.64000000013
2200,Quantum Technologies,Operations in healthcare,4146641.54,2030363.72,7320164.48,1386166.88,1884541.5,1613036.63,4263811.03,Healthcare,2116277.8200000003,5933997.600000001
2201,Quantum Motors,Operations in manufacturing,2337772.98,2500184.76,9372721.31,4922360.53,1275594.48,83012.98,2419319.3899999997,Healthcare,-162411.7799999998,4450360.78
2202,Pinnacle Systems,Operations in retail,4000289.93,1803001.55,8250458.19,4607828.79,800697.02,1426393.44,1580396.45,Healthcare,2197288.38,3642629.4000000004
2203,Quantum Solutions,Operations in retail,3220920.28,522413.61,5779518.6,81365.64,325165.17,762481.3,2309733.78,Healthcare,2698506.67,5698152.96
2204,Green Technologies,Operations in retail,1518103.07,1334284.38,3601624.93,4044981.73,1845926.78,1136270.32,3946046.89,Finance,183818.69000000018,-443356.7999999998
2205,Dynamic Logistics,Operations in technology,2108554.9,2027620.55,851790.87,2336437.8279999997,1438163.98,2740822.22,4633447.57,Finance,80934.34999999986,-1484646.9579999996
2206,Innovative Corp,Operations in manufacturing,3517256.5,861383.69,5328511.74,897317.96,1141653.3,1464130.486,4076436.79,Retail,2655872.81,4431193.78
2207,Future Motors,Operations in technology,4380328.74,2387630.85,1750351.91,4435901.92,765716.44,2346161.53,192678.78,Technology,1992697.8900000001,-2685550.01
2208,Global Enterprises,Operations in technology,1135633.0,1045755.28,9052374.89,2192269.464,1098231.68,636711.47,3161283.49,Finance,89877.71999999997,6860105.426000001
2209,Alpha Holdings,Operations in manufacturing,3042474.08,1077710.37,8599790.44,3368556.36,426241.08,850509.62,2174386.34,Manufacturing,1964763.71,5231234.08
2210,Innovative Technologies,Operations in retail,3320188.98,1878255.52,4703816.99,1252962.36,1858637.82,1742140.92,2782960.41,Finance,1441933.46,3450854.63
2211,Dynamic Motors,Operations in technology,1582637.57,1678973.62,5633860.47,299738.35,145103.58,1834261.36,3801300.13,Finance,-96336.05000000005,5334122.12
2212,Pinnacle Holdings,Operations in finance,4472190.48,2676013.96,4079560.95,590935.07,1481357.38,2075779.3,2354153.6720000003,Manufacturing,1796176.5200000005,3488625.8800000004
2213,Zenith Group,Operations in technology,4683343.64,2015674.49,4712978.65,792075.38,1049303.39,1014171.7,2760287.19,Finance,2667669.1499999994,3920903.2700000005
2214,Zenith International,Operations in healthcare,3048454.47,2173319.95,3580196.12,3732318.55,1440306.4,107890.43,4425048.5,Healthcare,875134.52,-152122.4299999997
2215,Innovative Corp,Operations in manufacturing,3721608.43,2728493.31,5463008.61,3229550.64,859911.6,1307752.48,4629724.9,Healthcare,993115.1200000001,2233457.97
2216,Dynamic Motors,Operations in retail,2590372.35,558060.22,2038892.22,759211.77,537599.17,2022113.14,2138914.9560000002,Healthcare,2032312.1300000001,1279680.45
2217,Alpha Solutions,Operations in manufacturing,4606173.29,923114.57,3246566.68,4016218.69,1855661.34,578244.77,1544682.91,Healthcare,3683058.72,-769652.0099999998
2218,Future Corp,Operations in technology,4313995.55,1038064.41,6234624.596,254960.86,429712.36,2858602.69,4978848.83,Finance,3275931.1399999997,5979663.736
2219,Dynamic Motors,Operations in manufacturing,3032024.29,1877269.26,8255941.01,1836196.38,312490.99,1577649.3,1209391.02,Healthcare,1154755.03,6419744.63
2220,Quantum International,Operations in manufacturing,4515724.02,1953455.66,715676.99,1395139.84,1670496.53,1633969.13,616983.88,Finance,2562268.3599999994,-679462.8500000001
2221,Tech Solutions,Operations in technology,2898299.97,1255156.74,239759.57,3253295.95,1668504.5,1314230.926,1065017.37,Finance,1643143.2300000002,-3013536.3800000004
2222,Quantum International,Operations in healthcare,2583706.8,2693898.89,5183072.15,813384.18,1348869.73,1687980.81,4295486.74,Healthcare,-110192.09000000032,4369687.970000001
2223,Dynamic Technologies,Operations in retail,1394534.18,1303044.478,2369240.36,1672103.23,1205652.2619999999,1241866.58,1647878.03,Finance,91489.70200000005,697137.1299999999
2224,Zenith Solutions,Operations in manufacturing,3038655.54,2417541.61,1505649.21,1891707.7219999998,1441159.45,2454138.61,3517718.46,Healthcare,621113.9300000002,-386058.5119999999
2225,Pinnacle Systems,Operations in manufacturing,2818755.43,2155883.24,9687475.98,1649974.84,968323.24,231914.34,1821757.96,Finance,662872.19,8037501.140000001
2226,Dynamic Motors,Operations in healthcare,557414.32,859706.2320000001,9808469.74,3967527.54,1060875.872,1598389.47,1565794.6,Retail,-302291.9120000001,5840942.2
2227,Global Holdings,Operations in manufacturing,2163019.604,1032622.41,1766789.76,2127144.08,715283.45,638503.57,3838898.46,Manufacturing,1130397.1939999997,-360354.32000000007
2228,Pinnacle Logistics,Operations in manufacturing,4989645.62,1098063.0060000003,1232693.75,2890407.82,1339660.03,2201824.82,714467.02,Technology,3891582.614,-1657714.0699999998
2229,Zenith Enterprises,Operations in technology,3007251.2419999996,812688.11,8129488.09,1018927.98,460675.85,910300.92,1613529.6,Manufacturing,2194563.1319999998,7110560.109999999
2230,Innovative Technologies,Operations in technology,1217678.8,2929744.36,4465063.79,2789992.09,1619996.14,804008.28,218654.03,Retail,-1712065.5599999998,1675071.7000000002
2231,Tech Enterprises,Operations in healthcare,923625.06,2332906.32,8008863.64,4037156.58,1300201.63,1606614.54,904359.29,Finance,-1409281.2599999998,3971707.0599999996
2232,Green Solutions,Operations in technology,4350195.69,2747046.22,5249313.1,360135.19,228006.32,37396.37,2419364.33,Healthcare,1603149.4700000002,4889177.909999999
2233,Quantum Holdings,Operations in manufacturing,1720736.87,78970.47,8133381.63,1827359.8540000003,55097.01,529775.44,540495.48,Healthcare,1641766.4000000001,6306021.776
2234,Green Logistics,Operations in retail,2356478.4579999996,2966448.3,1331322.57,2680069.882,578408.03,1511634.39,2451138.03,Manufacturing,-609969.8420000002,-1348747.3120000002
2235,Green International,Operations in finance,4034870.67,1200067.01,2014009.37,1100141.12,1699300.44,2712480.44,3782584.87,Technology,2834803.66,913868.25
2236,Dynamic Enterprises,Operations in technology,4192444.35,1078598.4,5957407.36,2400514.95,684508.8,928937.05,3215138.508,Finance,3113845.95,3556892.41
2237,Quantum Holdings,Operations in manufacturing,2465983.832,2399763.62,6947920.5,1480837.26,310757.39,283266.36,2288678.5,Technology,66220.21199999982,5467083.24
2238,Dynamic Motors,Operations in technology,3159033.08,360057.21,8290981.81,3010081.386,28562.62,1460605.242,1786374.6460000002,Technology,2798975.87,5280900.424
2239,Zenith Logistics,Operations in manufacturing,4538753.5,1442502.12,1616455.31,3189038.98,405474.36,2243822.78,1219826.92,Technology,3096251.38,-1572583.67
2240,Future Technologies,Operations in finance,4901959.57,2063833.83,3181907.61,3683227.914,1216094.72,1866256.62,613027.73,Finance,2838125.74,-501320.304
2241,Dynamic Motors,Operations in manufacturing,3139760.24,182818.2,4240071.976,718411.51,660832.01,2059110.6,1383729.43,Technology,2956942.04,3521660.466
2242,Dynamic Motors,Operations in finance,2514133.88,1215387.82,2034733.26,3629646.11,1681394.38,1579726.93,2515638.25,Healthcare,1298746.0599999998,-1594912.8499999999
2243,Future Logistics,Operations in manufacturing,4301539.83,971407.676,2051284.94,1495215.2,216038.75,2596372.99,813953.08,Finance,3330132.154,556069.74
2244,Innovative Group,Operations in technology,2625428.54,1405601.06,1721807.27,1835614.87,533636.28,2882711.7,4252995.43,Healthcare,1219827.48,-113807.6000000001
2245,Future Holdings,Operations in retail,2201114.08,1603471.5,3031314.2,2342778.096,1743983.33,1435348.42,4538099.46,Retail,597642.5800000001,688536.1040000003
2246,Green Enterprises,Operations in finance,1653382.78,693706.84,9534168.37,4770245.35,1046006.19,2504326.79,2377608.08,Healthcare,959675.9400000001,4763923.02
2247,Zenith Holdings,Operations in technology,118972.68,2027985.11,7521610.2,4205192.96,1986152.67,2779296.87,336617.9,Healthcare,-1909012.4300000002,3316417.24
2248,Global Logistics,Operations in technology,4135557.81,998792.47,8945777.46,1629124.37,1839392.12,2688567.61,4732423.46,Retail,3136765.34,7316653.090000001
2249,Innovative Enterprises,Operations in manufacturing,4678847.5,1506537.96,1879146.98,2271754.642,1299026.53,2957705.17,1939327.91,Retail,3172309.54,-392607.662
2250,Green Group,Operations in retail,2485862.49,211315.22,8859969.92,4617503.38,1562948.89,639856.73,3030529.162,Retail,2274547.27,4242466.54
2251,Innovative Systems,Operations in healthcare,2483823.53,1282763.94,9987083.72,2450101.136,1967560.03,882117.716,3404523.0579999997,Manufacturing,1201059.5899999999,7536982.584000001
2252,Pinnacle Technologies,Operations in manufacturing,2619515.88,1131233.9640000002,2482339.76,3210594.45,412276.11,105566.52,1719557.0,Finance,1488281.9159999997,-728254.6900000004
2253,Innovative Group,Operations in manufacturing,1363013.03,1735025.43,9393180.24,3457973.25,504607.926,2457630.77,3554160.84,Technology,-372012.3999999999,5935206.99
2254,Innovative Holdings,Operations in manufacturing,2051101.39,129659.5,3314282.96,1312293.59,774658.5680000001,2244302.6,4846000.43,Manufacturing,1921441.89,2001989.3699999999
2255,Innovative Technologies,Operations in technology,4663355.99,1324239.85,4317205.76,3265174.98,217582.2,167781.07,3660357.56,Technology,3339116.14,1052030.7799999998
2256,Green Motors,Operations in technology,2879949.71,2555029.51,4650445.74,3805297.07,815934.9200000002,1024809.39,769103.85,Manufacturing,324920.2000000002,845148.6700000004
2257,Green Enterprises,Operations in finance,4189688.24,2006183.082,4910593.564,3027967.37,1874974.11,2522057.94,1318129.6800000002,Technology,2183505.1580000003,1882626.1940000001
2258,Pinnacle Group,Operations in healthcare,4954578.58,1933369.65,2189533.77,337948.48,475577.82,2707987.69,1288340.4,Technology,3021208.93,1851585.29
2259,Alpha Holdings,Operations in manufacturing,1567022.73,1696760.55,5064892.15,2133224.0,1073926.376,907951.22,2352260.89,Finance,-129737.82000000007,2931668.1500000004
2260,Alpha Holdings,Operations in manufacturing,4757508.29,1198715.23,8819008.06,1924746.9640000002,91249.76,2336253.63,1597671.17,Manufacturing,3558793.06,6894261.096000001
2261,Global Systems,Operations in technology,2919840.88,163765.23,1470096.37,4774639.49,617319.02,675178.94,4196497.6,Manufacturing,2756075.65,-3304543.12
2262,Pinnacle Holdings,Operations in finance,1685709.09,2769096.03,5933676.24,720921.12,1200834.148,1499636.26,3128347.47,Technology,-1083386.9399999997,5212755.12
2263,Dynamic Systems,Operations in technology,2180407.47,695471.474,8239344.52,382894.29,1043723.866,337504.9,2245382.49,Manufacturing,1484935.9960000003,7856450.2299999995
2264,Dynamic Logistics,Operations in technology,2228552.806,1911656.6,7666023.01,318274.97,1916405.18,2913001.2,1219405.18,Finance,316896.2059999998,7347748.04
2265,Dynamic Logistics,Operations in technology,2534801.36,1989676.8,3445068.34,889598.43,446160.05,1649381.3019999997,2609635.61,Healthcare,545124.5599999998,2555469.9099999997
2266,Green Group,Operations in finance,583138.64,623020.9,9630922.95,2539892.61,1121263.49,2375373.11,674885.41,Healthcare,-39882.26000000001,7091030.34
2267,Dynamic Group,Operations in manufacturing,2363599.45,1945853.76,3728180.84,268314.13,1658290.72,894162.56,2775210.01,Technology,417745.6900000002,3459866.71
2268,Alpha Logistics,Operations in technology,899283.97,2762018.68,4466870.664,4387977.14,861619.98,400970.4,249692.57,Finance,-1862734.7100000002,78893.52400000021
2269,Alpha Corp,Operations in technology,3047912.07,141107.41,8862750.25,3574919.21,1670397.82,1771228.9079999998,4235282.15,Manufacturing,2906804.6599999997,5287831.04
2270,Global Group,Operations in manufacturing,632732.51,859286.19,6784390.29,2043670.166,1083706.7,1407575.59,3094846.69,Healthcare,-226553.67999999993,4740720.124
2271,Global Holdings,Operations in technology,1343423.84,404565.23,868934.41,4484755.32,1563356.05,1790506.12,1564784.29,Retail,938858.6100000001,-3615820.91
2272,Global International,Operations in retail,1663655.66,2171126.022,2411167.41,4098484.07,1495434.16,331712.04,1300211.78,Retail,-507470.36199999996,-1687316.6599999997
2273,Pinnacle Logistics,Operations in technology,3745766.84,606918.07,6604755.98,2163309.3,740060.69,1111858.95,481401.01,Retail,3138848.77,4441446.680000001
2274,Global Motors,Operations in healthcare,3902510.73,1256230.4679999999,5214415.39,4788969.88,249009.92,617368.53,2149719.44,Finance,2646280.262,425445.5099999998
2275,Alpha Enterprises,Operations in finance,1819760.28,231883.85,4705982.74,604019.58,12491.58,49558.0,2368633.5340000005,Healthcare,1587876.43,4101963.16
2276,Zenith Corp,Operations in manufacturing,3864852.86,776837.42,4748782.78,3569800.16,572178.9,2456998.95,2370094.34,Manufacturing,3088015.44,1178982.62
2277,Zenith Technologies,Operations in finance,2763530.09,2860856.58,7618933.32,3787185.43,313665.22,1428261.63,1228568.14,Technology,-97326.49000000022,3831747.89
2278,Zenith Group,Operations in technology,1462792.29,1221723.404,2786204.91,983337.26,608765.48,1476888.9,1302115.85,Retail,241068.88599999994,1802867.6500000001
2279,Future International,Operations in healthcare,2350362.3,452688.25,3241718.89,2683982.14,1467069.99,2479308.02,4728268.52,Retail,1897674.0499999998,557736.75
2280,Pinnacle International,Operations in retail,559765.42,1272763.87,4935165.08,1258153.73,219605.0,1671503.07,3710241.97,Finance,-712998.4500000001,3677011.35
2281,Innovative Systems,Operations in healthcare,3608963.72,1010281.42,3003615.11,2036038.97,558695.17,2888617.44,1509546.16,Technology,2598682.3000000003,967576.1399999999
2282,Green International,Operations in retail,724721.01,2475943.79,793356.16,4163920.52,1283828.1,550464.49,2578250.32,Healthcare,-1751222.78,-3370564.36
2283,Zenith Logistics,Operations in finance,1717125.65,2288095.13,8828893.89,1862480.3760000002,1309674.97,2638798.19,2520865.45,Finance,-570969.48,6966413.514
2284,Green International,Operations in retail,4743749.34,624687.95,5405680.18,1812677.4719999998,832021.618,965914.56,2888100.72,Manufacturing,4119061.3899999997,3593002.7079999996
2285,Pinnacle International,Operations in finance,2330476.96,2446014.96,4068987.42,2094928.09,1157829.66,2051086.54,1821041.6,Finance,-115538.0,1974059.3299999998
2286,Green Technologies,Operations in finance,2868674.36,277597.15,9912596.31,889631.29,1706302.87,1500959.9,987380.37,Technology,2591077.21,9022965.02
2287,Green Group,Operations in manufacturing,2298515.03,597330.3,4495147.82,2664752.048,743439.14,1965849.07,335317.63,Retail,1701184.7299999997,1830395.7720000003
2288,Innovative Solutions,Operations in retail,2712623.346,2701326.11,8557008.88,3310042.36,572338.58,621860.71,2347660.706,Retail,11297.236000000034,5246966.520000001
2289,Global Group,Operations in technology,4123809.15,2941421.71,9816383.33,2287374.91,721470.942,478732.01,4233423.68,Manufacturing,1182387.44,7529008.42
2290,Tech Enterprises,Operations in finance,894916.7,2569825.87,7689930.28,688026.3,1815675.76,1317117.2,2143190.0,Retail,-1674909.1700000002,7001903.98
2291,Dynamic Motors,Operations in technology,2520517.74,826768.5,3070056.13,1163389.86,1945811.98,1824069.35,1720204.37,Technology,1693749.2400000002,1906666.2699999998
2292,Green Logistics,Operations in retail,272439.0,2010825.66,6685902.78,3301638.4,1604429.29,2619801.65,3677508.12,Manufacturing,-1738386.66,3384264.3800000004
2293,Tech Motors,Operations in technology,489364.42,2682918.09,7836227.7,261752.13,759794.9,29539.71,2606176.58,Manufacturing,-2193553.67,7574475.57
2294,Dynamic Logistics,Operations in finance,2032443.44,1834531.7,4930690.1,1579992.45,1271244.054,1718378.65,2397158.59,Manufacturing,197911.74,3350697.6499999994
2295,Dynamic Technologies,Operations in technology,4587964.86,72279.54,4283224.11,1958574.684,1413721.61,1743468.84,3537161.62,Healthcare,4515685.32,2324649.4260000004
2296,Global International,Operations in manufacturing,2003329.75,190874.61,6223443.56,3909039.58,1396292.78,858594.96,2318018.74,Manufacturing,1812455.1400000001,2314403.9799999995
2297,Pinnacle Motors,Operations in retail,4794291.02,1099730.25,6524882.21,4933300.6,1280020.4,1181820.24,4533548.94,Manufacturing,3694560.7699999996,1591581.6100000003
2298,Quantum Holdings,Operations in manufacturing,3300657.69,547762.22,9599609.21,3965765.45,537396.35,1538489.71,657384.87,Healthcare,2752895.4699999997,5633843.760000001
2299,Zenith Enterprises,Operations in finance,1424028.49,1156641.92,6851084.48,452261.53,1486279.28,973504.17,2541527.65,Technology,267386.57000000007,6398822.95
2300,Alpha Solutions,Operations in technology,113951.24,2020030.22,8052509.12,4823104.07,517972.79,2006873.42,2223124.62,Healthcare,-1906078.98,3229405.05
2301,Dynamic Motors,Operations in technology,159452.25,2040462.14,7607135.59,4227317.31,203103.5,911947.02,3343720.48,Manufacturing,-1881009.89,3379818.2800000003
2302,Innovative Systems,Operations in manufacturing,1043788.59,751383.028,5140018.14,4763525.22,1892619.14,2591639.91,3404814.84,Manufacturing,292405.5619999999,376492.9199999999
2303,Innovative Logistics,Operations in manufacturing,2867138.54,2272245.53,6298617.76,1837504.78,411738.74,2328047.36,3637559.57,Healthcare,594893.0100000002,4461112.9799999995
2304,Pinnacle International,Operations in healthcare,4219927.81,1650706.57,9900023.31,2617787.76,733521.2699999999,1366252.33,1352443.01,Retail,2569221.2399999993,7282235.550000001
2305,Alpha Corp,Operations in technology,3804424.92,2909535.14,8687939.014,1568911.802,652800.19,2803241.02,3405051.6160000004,Healthcare,894889.7799999998,7119027.212
2306,Dynamic Corp,Operations in healthcare,1831471.45,371875.43,7636506.314,941179.2019999999,835730.66,1975165.23,2677969.0519999997,Technology,1459596.02,6695327.112000001
2307,Dynamic Enterprises,Operations in retail,1314010.58,1192310.5019999999,8259475.66,412617.36,1498107.26,1138167.83,1149073.4,Finance,121700.07800000021,7846858.3
2308,Alpha Group,Operations in technology,1153709.57,680526.25,6444524.37,1589978.58,797890.73,1504703.47,3092050.88,Healthcare,473183.32000000007,4854545.79
2309,Alpha Corp,Operations in retail,276863.55,403472.92,8468271.22,4677808.92,1480729.3,304211.46,3015366.48,Finance,-126609.37,3790462.3000000007
2310,Future Corp,Operations in healthcare,4320457.86,2736901.04,8056907.57,1939513.79,1882070.43,1276279.29,4316000.95,Technology,1583556.8200000003,6117393.78
2311,Pinnacle Solutions,Operations in technology,488356.51,2417666.28,4907838.86,915928.64,971034.27,2941245.32,4812463.2,Healthcare,-1929309.7699999998,3991910.22
2312,Pinnacle International,Operations in manufacturing,4900496.2,1799718.4,7296475.91,4484809.03,1022255.21,2883539.0,3403215.22,Technology,3100777.8000000003,2811666.88
2313,Alpha Corp,Operations in retail,4705039.18,909390.4,5530884.4,3783261.56,1008501.8019999999,2773293.18,4153826.3,Technology,3795648.78,1747622.8400000003
2314,Future Holdings,Operations in technology,2984381.64,807735.8,6300774.51,4165816.56,224881.71,1501791.91,3268499.326,Finance,2176645.84,2134957.9499999997
2315,Dynamic Motors,Operations in finance,2355125.5,1662421.2340000002,7663350.75,3982958.99,235581.66,1687562.25,3408822.77,Healthcare,692704.2659999998,3680391.76
2316,Quantum Group,Operations in manufacturing,4963947.8,2079408.6,6888349.17,4443306.36,1608006.66,813003.77,2175795.37,Finance,2884539.1999999997,2445042.8099999996
2317,Quantum Systems,Operations in healthcare,1702807.77,2112555.7,6431620.46,2329469.85,1088993.2,2349692.61,3654814.86,Retail,-409747.93000000017,4102150.61
2318,Future Systems,Operations in technology,1016121.65,1608411.64,5134877.77,2464084.35,443792.74,133176.56,4211614.92,Finance,-592289.9899999999,2670793.4199999995
2319,Innovative Solutions,Operations in technology,3139803.13,2703048.03,2535268.42,2645334.25,861851.58,2539161.51,2480919.25,Finance,436755.1000000001,-110065.83000000007
2320,Zenith Systems,Operations in finance,2699535.68,1665206.3900000001,8502906.97,2593067.71,913701.526,2789462.72,1141754.11,Retail,1034329.29,5909839.260000001
2321,Tech Solutions,Operations in manufacturing,4847340.29,952652.96,4862170.81,2439387.5,272930.75,1510239.0119999999,2839498.6160000004,Retail,3894687.33,2422783.3099999996
2322,Innovative Enterprises,Operations in retail,133723.86,847600.49,3006933.01,76983.65,702886.64,787108.73,131372.16,Manufacturing,-713876.63,2929949.36
2323,Future Enterprises,Operations in technology,2919773.86,1049204.89,6813645.83,2893652.894,244960.56,2644434.09,2832849.33,Technology,1870568.97,3919992.936
2324,Dynamic Holdings,Operations in technology,4081916.07,412808.74,3948555.16,2932530.8,1708327.86,1256361.44,484015.94,Finance,3669107.33,1016024.3600000003
2325,Green International,Operations in manufacturing,2851658.0,2794601.93,9387933.55,660534.5,1040073.75,2582497.06,3314960.58,Technology,57056.06999999983,8727399.05
2326,Global Solutions,Operations in finance,3909522.26,2800910.87,3458821.96,275637.86,1315078.82,582923.58,4508222.68,Finance,1108611.3899999997,3183184.1
2327,Global Group,Operations in manufacturing,1231809.25,1747587.97,4861633.222,2192228.23,1984720.12,818490.41,2955217.97,Technology,-515778.72,2669404.992
2328,Alpha Solutions,Operations in retail,3214100.58,2378334.45,4628441.36,4250390.85,1588033.81,2958987.16,3366105.3,Finance,835766.1299999999,378050.5100000007
2329,Alpha Group,Operations in finance,2940623.5439999998,22707.8,5932809.55,3113659.44,546044.14,1614902.74,4909053.43,Healthcare,2917915.744,2819150.11
2330,Innovative Solutions,Operations in healthcare,1807339.01,1674710.526,5405101.6559999995,4423628.83,618504.81,450056.41,4707233.74,Finance,132628.48399999994,981472.8259999994
2331,Dynamic Motors,Operations in technology,1231054.07,203090.42,848982.67,2031294.27,565229.6,1018169.69,3291815.698,Finance,1027963.65,-1182311.6
2332,Future Group,Operations in retail,3182681.06,1126493.13,6599244.76,3054471.182,668487.96,1380069.6039999998,4458527.1,Retail,2056187.9300000002,3544773.5779999997
2333,Alpha Motors,Operations in manufacturing,545867.58,1547982.16,2725468.76,3247650.85,861248.99,220749.93,3768838.88,Healthcare,-1002114.58,-522182.0900000003
2334,Dynamic Motors,Operations in technology,2478774.926,1406541.79,9036700.85,1840206.35,180651.47,1836510.24,326208.95,Manufacturing,1072233.136,7196494.5
2335,Global Enterprises,Operations in finance,2481102.09,1239525.46,2030575.03,2800148.4579999996,1259743.03,2525516.15,3506329.34,Finance,1241576.63,-769573.4279999996
2336,Global Technologies,Operations in finance,2056437.11,1188941.45,4938027.868000001,2859855.04,1938848.01,165121.2,3321473.68,Technology,867495.6600000001,2078172.8280000007
2337,Innovative International,Operations in technology,420503.16,1270205.79,5555699.89,2124039.59,1767653.69,2553936.69,2185874.74,Retail,-849702.6300000001,3431660.3
2338,Global Group,Operations in manufacturing,4998914.65,1726845.1,4609840.35,1425827.59,764884.59,2909709.56,2176533.86,Finance,3272069.5500000003,3184012.76
2339,Pinnacle International,Operations in manufacturing,3451425.37,1815647.87,3571027.22,319525.73,1859639.6,1660084.33,2128229.2639999995,Healthcare,1635777.5,3251501.49
2340,Alpha Enterprises,Operations in technology,3179381.37,169267.52,9027945.88,2092307.98,1307318.06,13890.07,1273065.66,Finance,3010113.85,6935637.9
2341,Pinnacle International,Operations in retail,1932416.16,1128447.42,4076323.8,197008.65,11601.68,2146237.67,471685.94,Manufacturing,803968.74,3879315.15
2342,Tech Technologies,Operations in retail,4464597.34,2416773.82,5356885.01,1046588.6,1974141.86,1608317.1580000003,3845502.31,Technology,2047823.52,4310296.41
2343,Innovative Solutions,Operations in healthcare,4480782.03,1067262.34,7281024.91,720496.92,332858.44,2030280.5,3211696.24,Finance,3413519.6900000004,6560527.99
2344,Future Solutions,Operations in technology,3124890.92,406525.84,7298655.68,2775468.5779999997,857517.72,354369.2,2495325.89,Healthcare,2718365.08,4523187.102
2345,Green Corp,Operations in retail,2146222.58,1742107.16,7068021.66,670381.5,1410925.22,1598698.526,4114238.76,Manufacturing,404115.42000000016,6397640.16
2346,Future Holdings,Operations in manufacturing,4045203.07,118004.4,7910213.33,2078276.65,1270203.84,2058263.27,4585751.4,Manufacturing,3927198.67,5831936.68
2347,Dynamic Motors,Operations in retail,4123571.87,2840030.73,2463014.32,411458.14,1252516.93,1152132.648,2618956.2120000003,Finance,1283541.1400000001,2051556.1799999997
2348,Global Motors,Operations in technology,4187901.39,1200122.78,5784267.25,528262.76,1748227.0,1319552.378,4623080.0,Healthcare,2987778.6100000003,5256004.49
2349,Pinnacle Corp,Operations in healthcare,1105238.75,1150609.76,6681499.98,4458458.74,1730158.96,1920909.81,2661969.48,Healthcare,-45371.01000000001,2223041.24
2350,Tech Systems,Operations in manufacturing,4493924.37,56087.65,9649577.78,894876.35,307707.93,2334716.49,1128027.05,Manufacturing,4437836.72,8754701.43
2351,Innovative Holdings,Operations in retail,904690.73,2777096.7,2943634.42,4427358.97,380255.82,2680490.77,733352.4,Retail,-1872405.9700000002,-1483724.5499999998
